start	end	text
0	4240	Can I build a full-on decentralized exchange faster than it takes to make my smoothie?
4240	6320	I'm sitting here in a cafe and today I'm going to race.
6320	7280	Let's test that theory out.
7280	8880	A tropical bliss please.
8880	11200	I just asked them how long do they think they're going to take.
11200	13600	This is three minutes, so I have three minutes on the clock.
23120	25280	And create our decks.
26800	27120	Bam!
27120	29040	And we finished.
29040	30480	Ah, thank you so much brother.
30480	31200	No problem.
31200	32560	I appreciate it bro.
32560	33200	And there we go.
33200	34640	That theory is busted.
